Gene	Chromosome	Start	End	Expression_Breadth	Description	GO_Term	GO_Function
BAP1	chr3	52410064	52419049	18	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	0004221	ubiquitin thiolesterase activity
BAT1	chr6	31605974	31618204	18	HLA-B associated transcript 1	0005515	protein binding
BAT2	chr6	31696428	31713533	18	HLA-B associated transcript 2	0005515	protein binding
BAT2D1	chr1	169721289	169829273	18	BAT2 domain containing 1
BAT2L	chr9	133295297	133365396	18	HLA-B associated transcript 2-like
BAT3	chr6	31714783	31728149	18	HLA-B associated transcript 3	0007283	spermatogenesis
BAZ1A	chr14	34291687	34414604	18	bromodomain adjacent to zinc finger domain, 1A	0008270	zinc ion binding
BAZ2A	chr12	55275646	55316430	18	bromodomain adjacent to zinc finger domain, 2A	0005677	chromatin silencing complex
BBS4	chr15	70765578	70817870	18	Bardet-Biedl syndrome 4	0034452	dynactin binding
BBX	chr3	108724472	109012739	18	bobby sox homolog (Drosophila)	0003677	DNA binding
BCAP29	chr7	107007945	107048159	18	B-cell receptor-associated protein 29	0005783	endoplasmic reticulum
BCAP31	chrX	152619140	152642776	18	B-cell receptor-associated protein 31	0006915	apoptosis
BCKDK	chr16	31027162	31031613	18	branched chain ketoacid dehydrogenase kinase	0005739	mitochondrion
BCLAF1	chr6	136619693	136652682	18	BCL2-associated transcription factor 1	0043065	positive regulation of apoptosis
BCR	chr22	21852551	21990224	18	breakpoint cluster region	0006468	protein amino acid phosphorylation
BDH2	chr4	104218230	104240473	18	3-hydroxybutyrate dehydrogenase, type 2	0055114	oxidation reduction
BECN1	chr17	38215675	38229836	18	beclin 1, autophagy related	0005515	protein binding
BET1L	chr11	192923	197422	18	blocked early in transport 1 homolog (S. cerevisiae)-like	0016020	membrane
BHLHE40	chr3	4996096	5001865	18	basic helix-loop-helix family, member e40	0005634	nucleus
BIN3	chr8	22533891	22582606	18	bridging integrator 3	0000917	barrier septum formation
BIRC2	chr11	101723175	101754611	18	baculoviral IAP repeat-containing 2	0005515	protein binding
BIRC5	chr17	73721871	73733311	18	baculoviral IAP repeat-containing 5	0006916	anti-apoptosis
BIRC6	chr2	32435599	32697469	18	baculoviral IAP repeat-containing 6	0005515	protein binding
BLCAP	chr20	35579232	35589717	18	bladder cancer associated protein	0016020	membrane
BLVRA	chr7	43764796	43813466	18	biliverdin reductase A	0006778	porphyrin metabolic process
BLZF1	chr1	167603817	167632404	18	basic leucine zipper nuclear factor 1	0005634	nucleus
BMI1	chr10	22650011	22660420	18	BMI1 polycomb ring finger oncogene	0051443	positive regulation of ubiquitin-protein ligase activity
BMS1	chr10	42597959	42650391	18	BMS1 homolog, ribosome assembly protein (yeast)	0005524	ATP binding
BNIP2	chr15	57742353	57768934	18	BCL2/adenovirus E1B 19kDa interacting protein 2	0006916	anti-apoptosis
BNIP3	chr10	133631193	133645425	18	BCL2/adenovirus E1B 19kDa interacting protein 3	0005739	mitochondrion
BOD1L	chr4	13179463	13238426	18	biorientation of chromosomes in cell division 1-like	0003677	DNA binding
BPTF	chr17	63252241	63410956	18	bromodomain PHD finger transcription factor	0008270	zinc ion binding
BRD2	chr6	33044414	33057260	18	bromodomain containing 2	0005634	nucleus
BRD3	chr9	135885266	135922962	18	bromodomain containing 3	0005634	nucleus
BRD4	chr19	15209300	15252262	18	bromodomain containing 4	0000114	regulation of transcription involved in G1 phase of mitotic cell cycle
BRD7	chr16	48910441	48960330	18	bromodomain containing 7	0005515	protein binding
BRD8	chr5	137503357	137542257	18	bromodomain containing 8	0005634	nucleus
BRD9	chr5	916855	944403	18	bromodomain containing 9	0005515	protein binding
BRP44	chr1	166153933	166172902	18	brain protein 44	0005739	mitochondrion
BRWD1	chr21	39479273	39607426	18	bromodomain and WD repeat domain containing 1	0045449	regulation of transcription
BRWD2	chr10	122600684	122659026	18	bromodomain and WD repeat domain containing 2
BSCL2	chr11	62214322	62231776	18	Bernardinelli-Seip congenital lipodystrophy 2 (seipin)	0008150	biological_process
BSDC1	chr1	32603291	32632649	18	BSD domain containing 1	0005515	protein binding
BSG	chr19	522324	534493	18	basigin (Ok blood group)	0007596	blood coagulation
BTBD1	chr15	81476184	81527110	18	BTB (POZ) domain containing 1	0005515	protein binding
BTBD2	chr19	1936446	1966702	18	BTB (POZ) domain containing 2	0005515	protein binding
BTBD6	chr14	104786163	104788475	18	BTB (POZ) domain containing 6	0000932	cytoplasmic mRNA processing body
BTBD7	chr14	92773648	92869138	18	BTB (POZ) domain containing 7	0005515	protein binding
BTD	chr3	15618258	15662329	18	biotinidase	0005576	extracellular region
BTF3	chr5	72830005	72837204	18	basic transcription factor 3	0005515	protein binding
BTF3L4	chr1	52294444	52326678	18	basic transcription factor 3-like 4
BTG1	chr12	91058184	91063804	18	B-cell translocation gene 1, anti-proliferative	0005634	nucleus
BTG2	chr1	201541286	201545352	18	BTG family, member 2	0009612	response to mechanical stimulus
BTG3	chr21	17887838	17907139	18	BTG family, member 3	0005737	cytoplasm
BTN2A1	chr6	26566167	26577844	18	butyrophilin, subfamily 2, member A1	0005887	integral to plasma membrane
BTN3A2	chr6	26473376	26486527	18	butyrophilin, subfamily 3, member A2	0016020	membrane
BTRC	chr10	103103814	103307060	18	beta-transducin repeat containing	0016874	ligase activity
PAK6				18	p21 protein (Cdc42/Rac)-activated kinase 6
BUB3	chr10	124903749	124914876	18	budding uninhibited by benzimidazoles 3 homolog (yeast)	0005515	protein binding
BUD31	chr7	98844536	98855175	18	BUD31 homolog (S. cerevisiae)	0006357	regulation of transcription from RNA polymerase II promoter
BZW1	chr2	201384891	201396805	18	basic leucine zipper and W2 domains 1	0016070	RNA metabolic process
BZW2	chr7	16652283	16712672	18	basic leucine zipper and W2 domains 2	0030154	cell differentiation
C10orf10	chr10	44791714	44794336	18	chromosome 10 open reading frame 10
C10orf104	chr10	73645811	73665624	18	chromosome 10 open reading frame 104
C10orf119	chr10	121578961	121622384	18	chromosome 10 open reading frame 119	0003674	molecular_function
C10orf26	chr10	104493716	104566011	18	chromosome 10 open reading frame 26
C10orf32	chr10	104603956	104614708	18	chromosome 10 open reading frame 32
C10orf46	chr10	120430483	120504748	18	chromosome 10 open reading frame 46	0031461	cullin-RING ubiquitin ligase complex
C10orf57	chr10	81828405	81842287	18	chromosome 10 open reading frame 57	0016021	integral to membrane
C10orf58	chr10	82158221	82182733	18	chromosome 10 open reading frame 58	0005739	mitochondrion
C11orf10	chr11	61313177	61316661	18	chromosome 11 open reading frame 10	0016021	integral to membrane
C11orf31	chr11	57265297	57267459	18	chromosome 11 open reading frame 31
C11orf49	chr11	46914826	47140374	18	chromosome 11 open reading frame 49
C11orf58	chr11	16716723	16736477	18	chromosome 11 open reading frame 58
C12orf10	chr12	51979736	51987232	18	chromosome 12 open reading frame 10	0005575	cellular_component
C12orf11	chr12	26949378	26982521	18	chromosome 12 open reading frame 11	0007049	cell cycle
C12orf23	chr12	105873673	105891943	18	chromosome 12 open reading frame 23	0016021	integral to membrane
C12orf4	chr12	4467161	4517898	18	chromosome 12 open reading frame 4
C12orf51	chr12	111082493	111228421	18	chromosome 12 open reading frame 51	0016881	acid-amino acid ligase activity
C12orf52	chr12	112107937	112114502	18	chromosome 12 open reading frame 52
C12orf57	chr12	6923463	6925426	18	chromosome 12 open reading frame 57
C13orf23	chr13	38482001	38510252	18	chromosome 13 open reading frame 23
C14orf100	chr14	59020913	59041834	18	chromosome 14 open reading frame 100
C14orf101	chr14	56116263	56185985	18	chromosome 14 open reading frame 101	0016020	membrane
C14orf118	chr14	75688011	75738887	18	chromosome 14 open reading frame 118
C14orf119	chr14	22634627	22639505	18	chromosome 14 open reading frame 119
C14orf138	chr14	49645099	49653047	18	chromosome 14 open reading frame 138	0008150	biological_process
INF2				18	inverted formin, FH2 and WH2 domain containing
C14orf166	chr14	51525977	51541170	18	chromosome 14 open reading frame 166	0005737	cytoplasm
C14orf21	chr14	23838937	23844214	18	chromosome 14 open reading frame 21	0003723	RNA binding
C14orf93	chr14	22525949	22549200	18	chromosome 14 open reading frame 93	0005576	extracellular region
C15orf17	chr15	72979380	72986515	18	chromosome 15 open reading frame 17
C15orf24	chr15	32163515	32181345	18	chromosome 15 open reading frame 24	0005737	cytoplasm
C15orf44	chr15	63658170	63690460	18	chromosome 15 open reading frame 44
C16orf35	chr16	75803	128610	18	chromosome 16 open reading frame 35
C16orf57	chr16	56592805	56613023	18	chromosome 16 open reading frame 57	0005575	cellular_component
C16orf58	chr16	31408315	31427207	18	chromosome 16 open reading frame 58	0016020	membrane
C16orf62	chr16	19474540	19619945	18	chromosome 16 open reading frame 62	0016020	membrane
C16orf63	chr16	15867077	15889948	18	chromosome 16 open reading frame 63	0034453	microtubule anchoring
C17orf45	chr17	16283025	16286065	18	chromosome 17 open reading frame 45
C17orf62	chr17	77993807	78001983	18	chromosome 17 open reading frame 62	0016021	integral to membrane
C17orf63	chr17	24107122	24193967	18	chromosome 17 open reading frame 63
C18orf10	chr18	32630031	32663156	18	chromosome 18 open reading frame 10	0005737	cytoplasm
C18orf25	chr18	42007985	42100953	18	chromosome 18 open reading frame 25
C19orf12	chr19	34881632	34897803	18	chromosome 19 open reading frame 12	0016021	integral to membrane
C19orf42	chr19	16617958	16631968	18	chromosome 19 open reading frame 42	0016020	membrane
C19orf43	chr19	12702453	12706529	18	chromosome 19 open reading frame 43
C19orf50	chr19	18529603	18541186	18	chromosome 19 open reading frame 50	0005515	protein binding
C19orf6	chr19	960649	972141	18	chromosome 19 open reading frame 6	0016021	integral to membrane
C19orf61	chr19	48927140	48950982	18	chromosome 19 open reading frame 61
C19orf62	chr19	17239231	17251162	18	chromosome 19 open reading frame 62
C1orf123	chr1	53452359	53458877	18	chromosome 1 open reading frame 123	0005575	cellular_component
C1orf128	chr1	23977462	23987309	18	chromosome 1 open reading frame 128
C1orf144	chr1	16566169	16597227	18	chromosome 1 open reading frame 144
C1orf63	chr1	25441326	25446572	18	chromosome 1 open reading frame 63
C1orf77	chr1	151873148	151884603	18	chromosome 1 open reading frame 77	0043231	intracellular membrane-bounded organelle
C1QBP	chr17	5276822	5283195	18	complement component 1, q subcomponent binding protein	0016020	membrane
C1RL	chr12	7138290	7153069	18	complement component 1, r subcomponent-like	0045087	innate immune response
C1S	chr12	7038240	7048596	18	complement component 1, s subcomponent	0008233	peptidase activity
C20orf11	chr20	61039885	61050272	18	chromosome 20 open reading frame 11	0005515	protein binding
C20orf3	chr20	24891579	24921425	18	chromosome 20 open reading frame 3
C20orf30	chr20	5028483	5041733	18	chromosome 20 open reading frame 30	0016020	membrane
C20orf43	chr20	54477053	54527349	18	chromosome 20 open reading frame 43	0003674	molecular_function
C20orf72	chr20	17897761	17919761	18	chromosome 20 open reading frame 72	0005739	mitochondrion
C21orf59	chr21	32895977	32906537	18	chromosome 21 open reading frame 59	0005634	nucleus
C22orf13	chr22	23266407	23281275	18	chromosome 22 open reading frame 13
C22orf28	chr22	31113561	31138274	18	chromosome 22 open reading frame 28	0034446	substrate adhesion-dependent cell spreading
GNB1L				18	guanine nucleotide binding protein (G protein), beta polypeptide 1-like
C2orf24	chr2	219744862	219749946	18	chromosome 2 open reading frame 24	0016021	integral to membrane
C2orf28	chr2	27288402	27293557	18	chromosome 2 open reading frame 28
C2orf30	chr2	53867571	53899999	18	chromosome 2 open reading frame 30
C3	chr19	6628845	6671662	18	complement component 3	0004866	endopeptidase inhibitor activity
C3orf10	chr3	10132332	10143874	18	chromosome 3 open reading frame 10	0005856	cytoskeleton
C3orf17	chr3	114203980	114221245	18	chromosome 3 open reading frame 17	0016021	integral to membrane
C3orf37	chr3	130480373	130506825	18	chromosome 3 open reading frame 37
C3orf63	chr3	56629199	56692175	18	chromosome 3 open reading frame 63
C3orf75	chr3	47512133	47530203	18	chromosome 3 open reading frame 75	0008150	biological_process
C4orf14	chr4	57524272	57538583	18	chromosome 4 open reading frame 14	0005743	mitochondrial inner membrane
C4orf18	chr4	159265181	159313652	18	chromosome 4 open reading frame 18
C4orf3	chr4	120437021	120441416	18	chromosome 4 open reading frame 3	0016020	membrane
C4orf41	chr4	184817439	184871739	18	chromosome 4 open reading frame 41
C5orf13	chr5	111092898	111340527	18	chromosome 5 open reading frame 13	0005737	cytoplasm
C5orf15	chr5	133319096	133332305	18	chromosome 5 open reading frame 15
C5orf24	chr5	134209268	134223324	18	chromosome 5 open reading frame 24
C5orf32	chr5	139534836	139603558	18	chromosome 5 open reading frame 32
C5orf41	chr5	172415975	172496569	18	chromosome 5 open reading frame 41	0006355	regulation of transcription, DNA-dependent
C5orf45	chr5	179196871	179218446	18	chromosome 5 open reading frame 45
C6orf106	chr6	34663046	34772603	18	chromosome 6 open reading frame 106
C6orf130	chr6	41142508	41148166	18	chromosome 6 open reading frame 130
C6orf48	chr6	31910671	31915520	18	chromosome 6 open reading frame 48
C6orf62	chr6	24813068	24827382	18	chromosome 6 open reading frame 62	0008150	biological_process
C6orf89	chr6	36961617	37004718	18	chromosome 6 open reading frame 89	0016021	integral to membrane
C7orf28A	chr7	5904866	5932129	18	chromosome 7 open reading frame 28A
C7orf28B	chr7	6805096	6832386	18	chromosome 7 open reading frame 28B	0005765	lysosomal membrane
C7orf42	chr7	66023637	66060973	18	chromosome 7 open reading frame 42	0016021	integral to membrane
C7orf59	chr7	99584465	99589769	18	chromosome 7 open reading frame 59
C8orf55	chr8	143805622	143815352	18	chromosome 8 open reading frame 55	0005576	extracellular region
C9orf5	chr9	110817235	110922046	18	chromosome 9 open reading frame 5	0008150	biological_process
C9orf80	chr9	114488611	114520208	18	chromosome 9 open reading frame 80
CAB39	chr2	231285800	231394034	18	calcium binding protein 39	0005515	protein binding
CABC1	chr1	225194560	225241869	18	chaperone, ABC1 activity of bc1 complex homolog (S. pombe)	0008219	cell death
CABIN1	chr22	22737764	22904596	18	calcineurin binding protein 1	0007166	cell surface receptor linked signaling pathway
CACYBP	chr1	173235193	173247786	18	calcyclin binding protein	0005641	nuclear envelope lumen
CAD	chr2	27293761	27320158	18	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	0016740	transferase activity
CALCOCO1	chr12	52391168	52407574	18	calcium binding and coiled-coil domain 1	0003713	transcription coactivator activity
CALCOCO2	chr17	44263370	44297228	18	calcium binding and coiled-coil domain 2	0005625	soluble fraction
CALM1	chr14	89933125	89944363	18	calmodulin 1 (phosphorylase kinase, delta)	0005886	plasma membrane
CALM2	chr2	47240808	47257154	18	calmodulin 2 (phosphorylase kinase, delta)
CALM3	chr19	51796351	51805879	18	calmodulin 3 (phosphorylase kinase, delta)
CALU	chr7	128166581	128198767	18	calumenin	0005515	protein binding
CAMTA2	chr17	4812016	4831655	18	calmodulin binding transcription activator 2	0006357	regulation of transcription from RNA polymerase II promoter
CAND1	chr12	65949327	65994655	18	cullin-associated and neddylation-dissociated 1	0005515	protein binding
CANT1	chr17	74499393	74517433	18	calcium activated nucleotidase 1	0005783	endoplasmic reticulum
CANX	chr5	179058535	179091245	18	calnexin	0005515	protein binding
CAP1	chr1	40278841	40310908	18	CAP, adenylate cyclase-associated protein 1 (yeast)	0007163	establishment or maintenance of cell polarity
CAPN1	chr11	64705918	64736052	18	calpain 1, (mu/I) large subunit	0008233	peptidase activity
CAPN2	chr1	221955917	222030343	18	calpain 2, (m/II) large subunit	0007520	myoblast fusion
GANC				18	glucosidase, alpha; neutral C
CAPN7	chr3	15222736	15269427	18	calpain 7	0008233	peptidase activity
CAPNS1	chr19	41322757	41333095	18	calpain, small subunit 1	0005737	cytoplasm
CAPRIN1	chr11	34029805	34080733	18	cell cycle associated protein 1	0005515	protein binding
CAPZA1	chr1	112963597	113015764	18	capping protein (actin filament) muscle Z-line, alpha 1	0071203	WASH complex
CAPZA2	chr7	116289798	116346549	18	capping protein (actin filament) muscle Z-line, alpha 2	0015629	actin cytoskeleton
CAPZB	chr1	19537859	19684579	18	capping protein (actin filament) muscle Z-line, beta	0051693	actin filament capping
CARKD	chr13	110066008	110090343	18	carbohydrate kinase domain containing	0003674	molecular_function
CARS2	chr13	110091759	110156464	18	cysteinyl-tRNA synthetase 2, mitochondrial (putative)	0016874	ligase activity
CASC3	chr17	35550032	35581957	18	cancer susceptibility candidate 3	0005515	protein binding
CASC4	chr15	42368220	42495247	18	cancer susceptibility candidate 4	0016020	membrane
CASP2	chr7	142695523	142714907	18	caspase 2, apoptosis-related cysteine peptidase	0005515	protein binding
CASP4	chr11	104318803	104344535	18	caspase 4, apoptosis-related cysteine peptidase	0005515	protein binding
CAST	chr5	96023696	96136141	18	calpastatin	0005515	protein binding
CBARA1	chr10	73797103	74055905	18	calcium binding atopy-related autoantigen 1	0005739	mitochondrion
CBR1	chr21	36364154	36367332	18	carbonyl reductase 1	0050221	prostaglandin-E2 9-reductase activity
CBX1	chr17	43502412	43533882	18	chromobox homolog 1 (HP1 beta homolog Drosophila )	0000775	chromosome, centromeric region
